公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
002135,东南网架,浙江东南网架股份有限公司,"Zhejiang Southeast Space Frame Co., Ltd.",浙江省杭州市萧山区衙前镇,002135,东南网架,2007-05-30,"854,532,200","671,194,533",,,,0,0,华东,浙江,杭州市,E 建筑业,www.dongnanwangjia.com
002136,安 纳 达,安徽安纳达钛业股份有限公司,"ANHUI ANNADA TITANIUM INDUSTRY CO.,LTD.",安徽省铜陵市铜官大道,002136,安 纳 达,2007-05-30,"215,020,000","213,546,160",,,,0,0,华东,安徽,铜陵市,C 制造业,www.andty.com
002137,麦达数字,深圳市麦达数字股份有限公司,"SHEN ZHEN MINDATA HOLDING CO., LTD",广东省深圳市龙岗区宝龙工业城宝龙六路实益达科技园,002137,麦达数字,2007-06-13,"576,382,117","255,278,332",,,,0,0,华南,广东,深圳市,C 制造业,www.sz-seastar.com
002138,顺络电子,深圳顺络电子股份有限公司,"Shenzhen Sunlord Electronics Co.,Ltd.",广东省深圳市宝安区观澜街道大富苑工业区顺络观澜工业园,002138,顺络电子,2007-06-13,"755,474,814","673,029,190",,,,0,0,华南,广东,深圳市,C 制造业,www.sunlordinc.com
002139,拓邦股份,深圳拓邦股份有限公司,"SHENZHEN TOPBAND CO., LTD.",广东省深圳市南山区高新技术产业园清华大学研究院B区403-414房,002139,拓邦股份,2007-06-29,"453,390,019","287,320,365",,,,0,0,华南,广东,深圳市,C 制造业,www.topband-e.com
002140,东华科技,东华工程科技股份有限公司,East China Engineering Science and Technology Co.，Ltd.,安徽省合肥市长江西路669号高新技术产业开发区内,002140,东华科技,2007-07-12,"446,034,534","439,853,162",,,,0,0,华东,安徽,合肥市,E 建筑业,www.chinaecec.com
002141,蓉胜超微,广东蓉胜超微线材股份有限公司,"GUANGDONG RONSEN SUPER MICRO-WIRE CO., LTD.",广东省珠海市金湾区三灶镇三灶科技工业园,002141,蓉胜超微,2007-07-20,"1,134,656,519","636,608,000",,,,0,0,华南,广东,珠海市,C 制造业,www.ronsen.com.cn
002142,宁波银行,宁波银行股份有限公司,"BANK OF NINGBO CO., LTD",浙江省宁波市鄞州区宁南南路700号,002142,宁波银行,2007-07-19,"3,899,794,081","3,452,427,704",,,,0,0,华东,浙江,宁波市,J 金融业,www.nbcb.com.cn
002143,印纪传媒,印纪娱乐传媒股份有限公司,"DMG Entertainment and Media Co., Ltd.",四川省遂宁市滨江南路666号,002143,印纪传媒,2007-07-20,"1,106,146,365","224,865,798",,,,0,0,西南,四川,遂宁市,L 商务服务,www.d-m-g.com
002144,宏达高科,宏达高科控股股份有限公司,"Hongda High-Tech Holding Co.,Ltd.",浙江省海宁市许村镇建设路118号,002144,宏达高科,2007-08-03,"176,762,528","133,525,812",,,,0,0,华东,浙江,嘉兴市,C 制造业,www.zjhongda.com.cn
002145,中核钛白,中核华原钛白股份有限公司,"CNNC HUA YUAN TITANIUM DIOXIDE CO.,LTD",甘肃省嘉峪关市东湖国际小区2号楼1单元401室,002145,中核钛白,2007-08-03,"1,593,567,576","1,022,007,586",,,,0,0,西北,甘肃,嘉峪关市,C 制造业,www.tioxhua.com
